timestamp,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus,gender,Race,Education
2018,Product Manager,326000,8,6,154000,172000,0,Male,White,Master's Degree
2018,Product Manager,330000,14,2,160000,170000,0,Female,White,Master's Degree
2018,Product Manager,355000,12,5,185000,170000,0,Male,White,Master's Degree
2018,Software Engineer,330000,6,6,160000,170000,0,Male,White,Master's Degree
2018,Software Engineering Manager,379000,12,8,182000,170000,27000,Male,White,Master's Degree
2018,Software Engineer,360000,3,2,165000,170000,25000,Male,White,Master's Degree
2018,Software Engineer,400000,6,6,190000,170000,40000,Male,White,Master's Degree
2018,Software Engineer,180000,4,0,138000,170000,0,Male,White,Master's Degree
2018,Product Manager,374000,10,2,184000,170000,20000,Male,White,Master's Degree
2018,Software Engineer,416000,16,2,215000,168000,32000,Female,White,Master's Degree
2018,Software Engineer,350000,20,5,185000,165000,0,Male,White,Master's Degree
2018,Product Manager,325000,12,3,160000,165000,0,Male,White,Master's Degree
2018,Software Engineer,380000,10,4,185000,165000,28000,Male,White,Master's Degree
2018,Software Engineer,366000,6,1.5,175000,165000,26000,Male,White,Master's Degree
2018,Software Engineer,335000,2,2,155000,165000,15000,Male,White,Master's Degree
2018,Software Engineer,350000,8,3,165000,165000,20000,Male,White,Master's Degree
2018,Software Engineer,310000,8,3,146000,164000,0,Male,White,Master's Degree
2018,Software Engineer,311000,10,4,147000,161000,3000,Male,White,Master's Degree
2018,Software Engineer,400000,5,3,200000,160000,40000,Male,White,Master's Degree
2018,Software Engineering Manager,320000,7,7,160000,160000,0,Male,White,Master's Degree
2018,Software Engineer,340000,13,3,180000,160000,0,Male,White,Master's Degree
2018,Software Engineer,360000,10,1,160000,160000,0,Male,White,Master's Degree
2018,Software Engineer,320000,8,6,160000,160000,0,Male,White,Master's Degree
2018,Software Engineer,290000,7,6.5,130000,160000,0,Male,White,Master's Degree
2018,Software Engineer,315000,11,6,155000,160000,0,Male,White,Master's Degree
2018,Software Engineer,420000,5,1,220000,160000,30000,Male,White,Master's Degree
2018,Software Engineer,370000,15,5,180000,160000,30000,Male,White,Master's Degree
2018,Software Engineer,205000,10,1,146000,160000,20000,Male,White,Master's Degree
2018,Software Engineer,260000,10,2,175000,160000,18000,Male,White,Master's Degree
2018,Software Engineer,360000,2.5,2.5,175000,160000,30000,Male,White,Master's Degree
2018,Software Engineer,360000,2,2,180000,160000,20000,Male,White,Master's Degree
2018,Product Designer,398000,10,3,196000,160000,42000,Male,White,Master's Degree
2018,Software Engineer,374000,8,1,164000,160000,50000,Male,White,Master's Degree
2018,Software Engineer,370000,5,5,178000,160000,32000,Male,White,Master's Degree
2018,Software Engineer,380000,9,8,190000,160000,30000,Male,White,Master's Degree
2018,Software Engineer,360000,5,2,190000,160000,0,Male,White,Master's Degree
2018,Software Engineering Manager,400000,18,4,200000,160000,40000,Other,White,Master's Degree
2018,Software Engineer,380000,8,1,176000,160000,50000,Male,White,Master's Degree
2018,Software Engineer,245000,10,1,168000,160000,28560,Male,White,Master's Degree
2018,Product Manager,246000,15,1,172000,160000,34400,Male,White,Master's Degree
2018,Software Engineer,362000,9,7,168000,159000,35000,Male,White,Master's Degree
2018,Software Engineer,332000,10,4,144000,159000,29000,Male,White,Master's Degree
2018,Software Engineering Manager,403000,15,3,203000,159000,41000,Male,White,Master's Degree
2018,Product Designer,340000,12,2,185000,155000,0,Male,White,Master's Degree
2018,Software Engineer,310000,5,0,140000,155000,14000,Male,White,Master's Degree
