timestamp,title,Education,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus,gender,Race,totalyearlycompensation
2020,Software Engineer,Master's Degree,5,0,95000,24000,14000,Male,White,133000
2020,Software Engineer,PhD,8,8,193000,80000,21000,Male,White,294000
2018,Software Engineer,Master's Degree,0,0,120000,50000,18000,Male,White,188000
2020,Software Engineer,Master's Degree,0,0,129000,25000,24000,Male,White,179000
2019,Software Engineering Manager,Master's Degree,6,6,160000,140000,0,Male,White,300000
2019,Software Engineer,Master's Degree,1,1,145000,2000,24000,Male,White,170000
2020,Software Engineer,Bachelor's Degree,2,1,125000,5000,32000,Male,Hispanic,162000
2019,Software Engineer,Master's Degree,10,5,185000,100000,15000,Male,White,300000
2020,Software Engineer,Master's Degree,3,2,155000,40000,20000,Male,White,213000
2020,Software Engineer,Master's Degree,4,4,145000,63000,15000,Male,White,223000
2019,Software Engineer,Master's Degree,7,2,135000,70000,0,Male,White,205000
2020,Software Engineer,Master's Degree,7,0,180000,56000,26000,Male,White,262000
2020,Software Engineer,Master's Degree,13,0,200000,50000,34000,Male,Asian,283000
2020,Software Engineer,Master's Degree,2,0,120000,12000,12000,Male,White,144000
2019,Hardware Engineer,Master's Degree,7,2.5,111000,49000,20000,Male,White,180000
2020,Software Engineer,Master's Degree,4,3,87000,13000,10000,Male,White,111000
2020,Software Engineer,Master's Degree,0,0,110000,30000,10000,Male,White,150000
2020,Product Manager,Master's Degree,10,2,220000,70000,40000,Male,White,330000
2020,Software Engineer,Master's Degree,0,0,118000,0,15000,Male,White,133000
2019,Software Engineer,Master's Degree,1,0,112000,5000,35000,Female,White,152000
2020,Product Manager,Master's Degree,5,3,154000,18000,25000,Male,White,197000
2020,Software Engineer,Master's Degree,5,1,153000,71000,56000,Male,White,280000
2020,Software Engineer,Bachelor's Degree,2,0,100000,2000,5000,Male,Asian,108000
2018,Software Engineer,Master's Degree,4,0,133000,18500,33300,Male,White,185000
2020,Software Engineer,Master's Degree,4,1,140000,10000,10000,Female,White,160000
2020,Hardware Engineer,Master's Degree,19,6,176000,85000,40000,Male,White,301000
2018,Software Engineer,Master's Degree,3,0,150000,60000,15000,Male,White,180000
2020,Software Engineer,Master's Degree,2,2,93000,22000,6000,Male,Asian,121000
